А112Т4;Набор кастрюль;Набор кастрюль Webber BE-335/6 6 пр. серебристый;Кастрюли;А112Т4.jpg;Webber;2600;4;6;да
D548T5;Столовый сервиз;Столовый сервиз Luminarc Every Day G0566, 6 персон, 18 предм.;Сервиз;D548T5.jpg;Luminarc;1700;4;10;да
F735F5;Сковорода;Сковорода НЕВА МЕТАЛЛ ПОСУДА Домашняя 7424, съемная ручка, 24 см;Сковорода;F735F5.jpg;Нева;1270;2;4;да
D644G3;Набор кастрюль;Набор кастрюль Webber ВЕ-620/8 8 пр. стальной;Кастрюли;D644G3.jpg;Webber;3500;3;8;да
H482Y6;Столовый сервиз;Столовый сервиз Luminarc Cadix L0300, 6 персон, 19 предм.;Сервиз;H482Y6.jpg;Luminarc;2300;5;12;да
F836E5;Набор сковород;Набор сковород Tefal Ingenio Chef Red L6598672 3 пр. бордовый;Сковорода;F836E5.jpg;Tefal;4600;2;6;да
N835F5;Кастрюля для запекания;Кастрюля для запекания Tefal 208AC00/1043, 2.3 л, 23 см;Кастрюли;N835F5.jpg;Tefal;744;3;13;да
F835F5;Набор посуды;Набор посуды SOLARIS S1605: 6 тарелок 180мм в контейнере;Сервиз;F835F5.jpg;Solaris;732;2;9;да
D036H2;Сковорода;Сковорода НЕВА МЕТАЛЛ ПОСУДА Алтай индукционная, 26 см;Сковорода;D036H2.jpg;Нева;1960;5;12;да
N835D4;Набор кастрюль;Набор кастрюль GALAXY GL9512 4 пр. фиолетовый;Кастрюли;N835D4.jpg;Galaxy;2100;3;5;да
K036S3;Набор посуды;Набор посуды GALAXY GL9507 6 пр. коричневый;Сервиз;;Galaxy;2990;5;15;да
C367R6;Набор кастрюль;Набор кастрюль Webber BE-336/6 6 пр. серебристый;Кастрюли;;Webber;3600;3;7;да
D026R4;Сковорода;Сковорода НЕВА МЕТАЛЛ ПОСУДА Карелия 2328, 28 см;Сковорода;;Нева;1800;4;2;да
A395T3;Набор кастрюль;Набор кастрюль Эмаль Дача 2-3194/4 белый;Кастрюли;;Эмаль;2150;2;13;да
C432H7;Набор посуды;Набор посуды Tefal Ingenio Red 04162820 3 пр. красный;Посуда;;Tefal;2700;4;6;да
S413D4;Набор кастрюль;Набор кастрюль СтальЭмаль 7DA025S 6 пр. слоновая кость;Кастрюли;;Эмаль;4500;3;15;да
L346D4;Набор кружек;Набор кружек Pasabahce Basic, 370 мл, 2 предм., 2 персоны;Посуда;;Нева;329;5;18;да
S257G5;Набор посуды;Набор посуды для выпечки O CUISINE 333SA95/6142;Посуда;;Tefal;2300;4;8;да
C425F8;Набор посуды;Набор обеденной посуды Mason Cash Classic 12 предметов серый;Посуда;;Нева;5990;5;9;да
M527Y7;Казан;Казан 5 л Наша Посуда антипригарный;Кастрюли;;Нева;1999;3;6;да
J468K6;Набор сковород;Набор сковород GALAXY GL9801 2 пр. синий;Сковорода;;Galaxy;1390;2;13;да
G405K9;Набор посуды;Набор посуды SOLARIS S1607: 6 стаканов 0,1л в контейнере;Посуда;;Solaris;240;4;23;да
S306J8;Ковш;Ковш б/деколи(палевый) 17,5х8 см 1,5 л;Посуда;;Tefal;409;2;14;да
M045H6;Набор кастрюль;Набор кастрюль СтальЭмаль 1с33/1 6 пр. белоснежный /маки ;Кастрюли;;Эмаль;1499;4;7;да
D630H5;Набор кастрюль;Набор кастрюль Webber BE-621/6 стальной;Кастрюли;;Webber;2000;3;8;да
V493H5;Набор посуды;Набор посуды Tefal Ingenio RED 9 предметов ;Посуда;;Tefal;6000;4;18;да
F835H6;Кастрюля для запекания;Кастрюля эмалированная, цветок Розы;Кастрюли;;Нева;2130;2;5;да
K935B6;Салатник;Салатник «Кото», 0,19 л 10 см красный, фарфор;Посуда;;Нева;1200;3;9;да
S835H6;Кастрюля для запекания;Кастрюля Scovo Expert СЭ-008, 4.5 л;Кастрюли;;Tefal;1600;4;13;да
F934E5;Сервировочное блюдо;Сервировочное блюдо ROSSI для подачи из керамики 28х18 см ;Посуда;;Нева;1200;3;5;да
